DATE;TIME;Radiação Solar;Temp_solo;Chuva Acumulada;Pressão_Atm;Temperatura.Ar;Umidade.Relativa;Vel.Vento_REG1;Dir.Vento_REG1
13/04/2026;10:09:39;418,88;25,81;363,00;906,39;20,16;89,47;3,48;108,98
13/04/2026;10:19:39;410,55;25,81;363,00;906,38;20,21;88,85;3,79;109,68
13/04/2026;10:29:39;425,01;25,81;363,00;906,38;20,14;88,99;3,63;101,60
13/04/2026;10:39:39;599,69;25,81;363,00;906,25;20,42;89,23;2,01;138,51
13/04/2026;10:49:39;550,06;25,81;363,00;906,20;21,18;88,44;4,02;146,25
13/04/2026;10:59:39;225,48;25,82;363,00;906,21;20,31;87,25;4,48;100,54
13/04/2026;11:09:39;419,33;25,81;363,20;906,16;19,90;88,96;4,65;133,24
13/04/2026;11:19:39;554,95;25,82;363,20;905,99;20,73;88,54;2,31;165,23
13/04/2026;11:29:39;496,87;25,82;363,20;906,01;20,78;86,82;4,12;86,13
13/04/2026;11:39:39;545,43;25,81;363,20;905,86;22,10;86,23;2,46;119,53
13/04/2026;11:49:39;476,90;25,82;363,20;905,81;21,83;84,34;1,35;101,25
13/04/2026;11:59:39;715,75;25,83;363,20;905,62;22,10;84,61;2,31;106,17
13/04/2026;12:09:39;552,75;25,82;363,20;905,54;22,28;83,12;0,35;125,85
13/04/2026;12:19:39;139,87;25,83;363,20;905,37;21,96;84,39;0,00;130,78
13/04/2026;12:29:39;621,56;25,84;363,20;905,24;21,44;85,71;3,31;105,46
13/04/2026;12:39:39;369,19;25,83;363,20;905,01;22,95;83,29;0,00;119,53
13/04/2026;12:49:39;432,05;25,84;363,20;904,99;21,84;84,90;3,96;112,50
13/04/2026;12:59:39;315,95;25,84;363,20;904,81;22,23;83,68;0,00;99,84
13/04/2026;13:09:39;400,15;25,83;363,20;904,76;22,34;82,32;1,76;150,46
13/04/2026;13:19:39;393,16;25,84;363,20;904,65;22,58;81,72;0,00;181,40
13/04/2026;13:29:39;416,76;25,83;363,20;904,57;22,66;81,30;0,40;132,53
13/04/2026;13:39:39;512,73;25,84;363,20;904,35;23,29;79,52;2,76;91,40
13/04/2026;13:49:39;540,61;25,84;363,20;904,25;23,10;81,10;0,40;123,39
13/04/2026;13:59:39;345,05;25,84;363,20;904,17;22,91;81,33;0,39;140,97
13/04/2026;14:09:39;476,19;25,84;363,20;904,10;23,06;80,26;0,38;142,38
13/04/2026;14:19:39;425,62;25,85;363,20;904,02;23,54;80,43;1,39;110,74
13/04/2026;14:29:39;378,01;25,86;363,20;903,87;23,44;79,25;0,00;92,81
13/04/2026;14:39:39;337,84;25,85;363,20;903,81;23,66;79,11;2,25;143,43
13/04/2026;14:49:39;381,50;25,85;363,20;903,82;23,40;80,68;1,25;86,13
13/04/2026;14:59:39;368,74;25,85;363,20;903,71;23,68;79,97;0,34;105,11
13/04/2026;15:09:39;269,81;25,85;363,20;903,61;23,80;78,71;0,39;119,53
13/04/2026;15:19:39;440,69;25,86;363,20;903,53;24,15;77,66;1,34;94,92
13/04/2026;15:29:39;305,53;25,86;363,20;903,49;23,75;78,95;0,43;149,76
13/04/2026;15:39:39;290,61;25,86;363,20;903,42;23,62;78,94;3,34;112,50
13/04/2026;15:49:39;230,79;25,86;363,20;903,43;23,25;79,04;0,55;105,82
13/04/2026;15:59:39;214,49;25,86;363,20;903,42;23,40;79,61;2,89;130,42
13/04/2026;16:09:39;169,01;25,85;363,20;903,42;23,34;80,02;3,71;159,96
13/04/2026;16:19:39;283,10;25,86;363,20;903,39;22,90;80,83;0,44;89,29
13/04/2026;16:29:39;295,51;25,86;363,20;903,43;24,01;78,83;0,00;161,36
13/04/2026;16:39:39;97,97;25,86;363,20;903,45;23,80;78,01;0,00;114,60
13/04/2026;16:49:39;37,46;25,86;363,20;903,43;22,95;80,49;0,00;165,58
13/04/2026;16:59:39;48,25;25,88;363,20;903,50;22,67;81,18;0,00;114,60
13/04/2026;17:09:39;44,15;25,88;363,20;903,55;22,44;81,29;0,53;87,89
13/04/2026;17:19:39;25,95;25,89;363,20;903,53;22,26;82,20;0,00;149,06
13/04/2026;17:29:39;13,38;25,88;363,20;903,59;22,11;82,54;0,38;162,42
13/04/2026;17:39:39;8,94;25,90;363,20;903,61;21,94;82,91;0,00;107,92
13/04/2026;17:49:39;1,90;25,90;363,20;903,65;21,76;83,37;0,00;140,62
13/04/2026;17:59:39;0,24;25,90;363,20;903,63;21,60;83,49;0,00;61,17
13/04/2026;18:09:39;0,13;25,90;363,20;903,79;21,52;83,83;0,00;149,41
13/04/2026;18:19:39;0,12;25,91;363,20;903,84;21,46;83,70;0,00;117,42
13/04/2026;18:29:39;0,12;25,91;363,20;903,87;21,47;83,33;0,00;120,23
13/04/2026;18:39:39;0,12;25,91;363,20;903,90;21,39;83,00;0,00;195,11
13/04/2026;18:49:39;0,11;25,91;363,20;903,95;21,32;83,16;2,33;106,52
13/04/2026;18:59:39;0,10;25,91;363,20;904,06;21,13;83,61;0,52;138,51
13/04/2026;19:09:39;0,12;25,91;363,20;904,14;20,95;84,16;1,94;85,07
13/04/2026;19:19:39;0,12;25,90;363,20;904,20;20,81;84,70;0,84;124,80
13/04/2026;19:29:39;0,11;25,91;363,20;904,35;20,80;85,03;1,59;66,09
13/04/2026;19:39:39;0,11;25,91;363,20;904,37;20,72;85,38;1,96;138,86
13/04/2026;19:49:39;0,12;25,92;363,20;904,39;20,42;86,20;2,54;113,90
13/04/2026;19:59:39;0,12;25,91;363,20;904,39;20,11;87,44;1,96;110,74
13/04/2026;20:09:39;0,10;25,91;363,20;904,35;20,02;87,93;1,78;99,49
13/04/2026;20:19:39;0,11;25,91;363,20;904,43;19,92;88,10;2,21;90,70
13/04/2026;20:29:39;0,12;25,93;363,20;904,48;19,76;88,32;1,88;117,07
13/04/2026;20:39:39;0,12;25,93;363,20;904,50;19,74;88,44;1,54;118,82
13/04/2026;20:49:39;0,11;25,93;363,20;904,50;19,77;88,02;1,59;125,85
13/04/2026;20:59:39;0,10;25,93;363,20;904,56;19,74;88,28;1,51;75,93
13/04/2026;21:09:39;0,11;25,93;363,20;904,65;19,74;88,20;1,85;82,26
13/04/2026;21:19:39;0,12;25,93;363,20;904,68;19,86;88,02;1,03;69,60
13/04/2026;21:29:39;0,12;25,93;363,20;904,65;19,94;87,70;3,57;132,53
